Year,Road Segment ID,Road Name,Length(km),Vehicle Type,Vehicle Classification,Traffic Density,Total AADT
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Two/Three-Wheeled,Tricycle,1,37
2021,R:1,ROXAS BLVD.,11.47,Two/Three-Wheeled,Tricycle,244,2793
2021,R:2,TAFT AVE.,16.5,Two/Three-Wheeled,Tricycle,231,3807
2021,R:3,SSH,24.27,Two/Three-Wheeled,Tricycle,3,80
2021,R:4,SHAW BLVD.,7.68,Two/Three-Wheeled,Tricycle,1,10
2021,R:5,ORTIGAS AVE.,5.54,Two/Three-Wheeled,Tricycle,81,449
2021,R:6,MAGSAYSAY BLVD.,2.2,Two/Three-Wheeled,Tricycle,587,1292
2021,R:6,AURORA BLVD.,11.42,Two/Three-Wheeled,Tricycle,9,98
2021,R:7,QUEZON AVE.,7.73,Two/Three-Wheeled,Tricycle,12,90
2021,R:7,COMMONWEALTH AVE.,12.4,Two/Three-Wheeled,Tricycle,11,131
2021,R:8,A. BONIFACIO,15.98,Two/Three-Wheeled,Tricycle,76,1222
2021,R:9,RIZAL AVE.,15.95,Two/Three-Wheeled,Tricycle,47,747
2021,R:10,DEL PAN,7.32,Two/Three-Wheeled,Tricycle,513,3753
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Two/Three-Wheeled,Tricycle,68,252
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Two/Three-Wheeled,Tricycle,24,200
